number,value,datetime_start,datetime_complete,duration,params_cat_preprocessing,params_gb_learning_rate,params_gb_max_depth,params_gb_n_estimators,params_hgb_learning_rate,params_hgb_max_depth,params_hgb_max_iter,params_lr_C,params_lr_penalty,params_lr_tol,params_mlp_alpha,params_mlp_hidden_layer_sizes,params_mlp_solver,params_model_type,params_num_preprocessing,params_rf_max_depth,params_rf_min_samples_split,params_rf_n_estimators,params_targetencoder_smooth,state
37,0.7636195286195286,2025-02-17 03:20:52.246577,2025-02-17 03:21:03.333997,0 days 00:00:11.087420,TargetEncoder,,,,,,,1.8458024327563125,l1,0.0097963539247141,,,,LogisticRegression,StandardScaler,,,,0.3944728385029389,COMPLETE
38,0.7676430976430976,2025-02-17 03:21:03.335003,2025-02-17 03:27:48.551004,0 days 00:06:45.216001,OrdinalEncoder,0.05322307077077108,10.0,286.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
39,0.7089393939393939,2025-02-17 03:27:48.551949,2025-02-17 03:28:19.068285,0 days 00:00:30.516336,OneHotEncoder,,,,0.01067076896133901,2.0,209.0,,,,,,,HistGradientBoostingClassifier,None,,,,,COMPLETE
40,0.7684175084175083,2025-02-17 03:28:19.069730,2025-02-17 03:35:28.386043,0 days 00:07:09.316313,OrdinalEncoder,0.06414069377333304,10.0,298.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
41,0.8073905723905723,2025-02-17 03:35:28.387097,2025-02-17 03:51:25.434189,0 days 00:15:57.047092,OneHotEncoder,0.11608760434852844,9.0,262.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
42,0.8048316498316499,2025-02-17 03:51:25.435446,2025-02-17 04:00:39.782498,0 days 00:09:14.347052,OneHotEncoder,0.10475873278556057,8.0,165.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
43,0.8021717171717171,2025-02-17 04:00:39.783773,2025-02-17 04:12:13.371021,0 days 00:11:33.587248,OneHotEncoder,0.030494376870688938,9.0,208.0,,,,,,,,,,GradientBoostingClassifier,None,,,,,COMPLETE
44,0.7163299663299664,2025-02-17 04:12:13.372380,2025-02-17 04:13:04.160285,0 days 00:00:50.787905,OneHotEncoder,,,,,,,,,,0.09693215382927745,"(50, 50)",adam,MLPClassifier,None,,,,,COMPLETE
45,0.808956228956229,2025-02-17 04:13:04.161548,2025-02-17 04:47:12.985142,0 days 00:34:08.823594,TargetEncoder,0.1000123462705364,10.0,270.0,,,,,,,,,,GradientBoostingClassifier,None,,,,0.7870789899223931,COMPLETE
46,0.7559090909090909,2025-02-17 04:47:12.986112,2025-02-17 04:47:21.154949,0 days 00:00:08.168837,TargetEncoder,,,,,,,0.0023499944033153544,l2,0.000429769058463169,,,,LogisticRegression,StandardScaler,,,,0.8117607969985753,COMPLETE
47,0.8072053872053873,2025-02-17 04:47:21.156207,2025-02-17 05:20:44.113281,0 days 00:33:22.957074,TargetEncoder,0.11241846647680154,10.0,267.0,,,,,,,,,,GradientBoostingClassifier,None,,,,0.7802867750448458,COMPLETE
48,0.7634175084175083,2025-02-17 05:20:44.114645,2025-02-17 05:20:54.183782,0 days 00:00:10.069137,TargetEncoder,,,,0.7940747864898343,10.0,58.0,,,,,,,HistGradientBoostingClassifier,None,,,,0.7171734935730818,COMPLETE
49,0.8067845117845117,2025-02-17 05:20:54.185462,2025-02-17 05:54:17.228095,0 days 00:33:23.042633,TargetEncoder,0.32952636681665765,10.0,274.0,,,,,,,,,,GradientBoostingClassifier,None,,,,0.9808061384631179,COMPLETE
